 	Label	Area
192	CT02_CT163_BO.tif	1.181E-5
193	CT02_CT163_BO.tif	0.000
194	CT02_CT163_BO.tif	0.000
195	CT02_CT163_BO.tif	0.000
196	CT02_CT163_BO.tif	1.389E-5
197	CT02_CT163_BO.tif	1.528E-5
198	CT02_CT163_BO.tif	1.111E-5
199	CT02_CT163_BO.tif	9.722E-6
200	CT02_CT163_BO.tif	1.250E-5
201	CT02_CT163_BO.tif	1.667E-5
202	CT02_CT163_BO.tif	1.736E-5
203	CT02_CT163_BO.tif	0.000
204	CT02_CT163_BO.tif	0.000
205	CT02_CT163_BO.tif	1.806E-5
206	CT02_CT163_BO.tif	0.000
207	CT02_CT163_BO.tif	1.528E-5
208	CT02_CT163_BO.tif	1.528E-5
209	CT02_CT163_BO.tif	1.181E-5
210	CT02_CT163_BO.tif	1.458E-5
211	CT02_CT163_BO.tif	6.250E-6
212	CT02_CT163_BO.tif	0.000
213	CT02_CT163_BO.tif	0.000
214	CT02_CT163_BO.tif	1.944E-5
215	CT02_CT163_BO.tif	0.000
216	CT02_CT163_BO.tif	1.597E-5
217	CT02_CT163_BO.tif	1.389E-5
218	CT02_CT163_BO.tif	1.528E-5
219	CT02_CT163_BO.tif	0.000
220	CT02_CT163_BO.tif	0.000
221	CT02_CT163_BO.tif	1.667E-5
222	CT02_CT163_BO.tif	1.458E-5
223	CT02_CT163_BO.tif	0.000
224	CT02_CT163_BO.tif	6.250E-6
225	CT02_CT163_BO.tif	1.667E-5
226	CT02_CT163_BO.tif	9.028E-6
227	CT02_CT163_BO.tif	7.639E-6
228	CT02_CT163_BO.tif	0.000
229	CT02_CT163_BO.tif	0.000
230	CT02_CT163_BO.tif	2.014E-5
231	CT02_CT163_BO.tif	0.000
232	CT02_CT163_BO.tif	1.250E-5
233	CT02_CT163_BO.tif	1.389E-5
234	CT02_CT163_BO.tif	1.806E-5
235	CT02_CT163_BO.tif	0.000
236	CT02_CT163_BO.tif	0.000
237	CT02_CT163_BO.tif	1.736E-5
238	CT02_CT163_BO.tif	0.000
239	CT02_CT163_BO.tif	1.736E-5
240	CT02_CT163_BO.tif	1.528E-5
241	CT02_CT163_BO.tif	2.014E-5
242	CT02_CT163_BO.tif	1.389E-5
243	CT02_CT163_BO.tif	0.000
244	CT02_CT163_BO.tif	0.000
245	CT02_CT163_BO.tif	0.000
246	CT02_CT163_BO.tif	1.528E-5
247	CT02_CT163_BO.tif	1.250E-5
248	CT02_CT163_BO.tif	1.458E-5
249	CT02_CT163_BO.tif	1.389E-5
250	CT02_CT163_BO.tif	1.528E-5
251	CT02_CT163_BO.tif	0.000
252	CT02_CT163_BO.tif	0.000
253	CT02_CT163_BO.tif	1.806E-5
254	CT02_CT163_BO.tif	0.000
255	CT02_CT163_BO.tif	1.806E-5
256	CT02_CT163_BO.tif	2.083E-5
257	CT02_CT163_BO.tif	1.458E-5
258	CT02_CT163_BO.tif	0.000
259	CT02_CT163_BO.tif	0.000
260	CT02_CT163_BO.tif	0.000
261	CT02_CT163_BO.tif	1.389E-5
262	CT02_CT163_BO.tif	1.597E-5
263	CT02_CT163_BO.tif	2.431E-5
264	CT02_CT163_BO.tif	1.944E-5
265	CT02_CT163_BO.tif	0.000
266	CT02_CT163_BO.tif	0.000
267	CT02_CT163_BO.tif	0.000
268	CT02_CT163_BO.tif	1.736E-5
269	CT02_CT163_BO.tif	1.667E-5
270	CT02_CT163_BO.tif	1.806E-5
271	CT02_CT163_BO.tif	0.000
272	CT02_CT163_BO.tif	0.000
273	CT02_CT163_BO.tif	1.389E-5
274	CT02_CT163_BO.tif	0.000
275	CT02_CT163_BO.tif	2.153E-5
276	CT02_CT163_BO.tif	1.667E-5
277	CT02_CT163_BO.tif	1.389E-5
278	CT02_CT163_BO.tif	1.250E-5
279	CT02_CT163_BO.tif	9.722E-6
280	CT02_CT163_BO.tif	0.000
281	CT02_CT163_BO.tif	0.000
282	CT02_CT163_BO.tif	0.000
283	CT02_CT163_BO.tif	1.042E-5
284	CT02_CT163_BO.tif	1.111E-5
285	CT02_CT163_BO.tif	1.250E-5
286	CT02_CT163_BO.tif	1.319E-5
287	CT02_CT163_BO.tif	0.000
288	CT02_CT163_BO.tif	0.000
